Strategy,Flux,Biomass,N_of_deletions,C_limit
"['ALATRS', 'R15BPK', 'ACONTb', 'PGM', 'FALDM']",1.61843934087657e-05,0.3559668135998882,5,12
"['G3PD2', 'ACONTb', 'PGM', 'AKGDa', 'FALDM']",0.0001357359994249,0.2658609300631033,5,12
['ADPT'],4.607676735887342e-05,0.4177961816375402,1,11
['RHACOAR80'],0.0,0.4178046935800785,1,11
['RPE'],0.0,0.4161224537862878,1,11
['DURAD'],0.0,0.4177973424118277,1,11
['AADSACYCL'],0.0,0.4178046935801111,1,11
['GLYALDDr'],0.0,0.4092358382621517,1,11
"['DURAD', 'RPE']",2.7419166936937245e-10,0.4161151616956195,2,11
"['DURAD', 'RHACOAR80']",0.0,0.4177973424118524,2,11
"['HACD4i', 'HACD5i']",0.0,0.4178046935801473,2,11
"['DURAD', 'RHACOAR80', 'RPE']",0.0,0.4161151616956164,3,11
"['SHK3D', 'ECOAH27']",2.670655363523622e-10,0.4178046935190782,2,11
"['KAT20', 'SUCOAS']",7.313474409409438e-10,0.4065894150720969,2,11
"['PPK2r', 'GLUR']",0.0,0.4178046935800747,2,11
"['GLUDy', 'GLUR']",0.0,0.4178046935800499,2,11
"['AKGDa', 'PPCSCT']",0.0,0.4062896559052844,2,11
"['GLUDy', 'PPK2r']",0.0,0.4178046935801214,2,11
"['SHK3D', '3OXCOAT']",0.0,0.0914828617038972,2,11
"['GLUDy', 'ECOAH27']",0.0,0.4178046935800823,2,11
"['GLYALDDr', '3OXCOAT']",0.0,0.0835169134513216,2,11
"['LSERDHr', 'ABUTD']",0.0,0.4178046935800795,2,11
"['APTNAT', 'ECOAH4', 'IMPD']",-1.0693113061677197e-12,0.4169372751030034,3,11
"['FACOAE60', 'ECOAH2', 'DCTPD']",8.826679387397007e-09,0.4178046935800773,3,11
"['APTNAT', 'AADSACYCL', 'PDHcr']",0.0,0.4004984411119695,3,11
"['AADSACYCL', 'PDHcr', 'ECOAH4']",0.0,0.4004984411121315,3,11
"['APTNAT', 'AADSACYCL', 'FACOAE80']",8.313598420794931e-10,0.4178046935800073,3,11
"['MAN6PI', 'IMPD', 'PGM']",1.9740748896657223e-09,0.4158044193273342,3,11
"['XAND', 'NTD4', 'KAT22']",7.230482879094781e-10,0.4178046935802189,3,11
"['ECOAH2', 'DCTPD', 'ECOAH3']",0.0,0.4178046935800758,3,11
"['ECOAH4', 'DCTPD', 'PDHcr']",0.0,0.4004984411119928,3,11
"['IMPD', 'PGM', 'MALS']",0.0,0.4158044193273371,3,11
"['UPPN', 'PDHcr', 'GGDAPAH']",1.2373809643821152,0.1702976657047656,3,11
"['3OADPCOAT', 'UPPN', 'NDPK3']",9.980171221183644e-06,0.0912632767865194,3,11
"['LTDCL', 'ECOAH27', 'ATHRDHr']",3.7308181544126734e-10,0.417804693580075,3,11
"['UPPN', 'ALDD1', 'NDPK3']",1.645022312812827e-09,0.4167937861971036,3,11
"['FALDH2', 'ALDD1', 'NDPK3']",0.0,0.4167999792044459,3,11
"['3OADPCOAT', 'PDHcr', 'ALDD1']",0.0,0.0861469246424417,3,11
"['3OADPCOAT', 'ACOAD3f', 'NTD4']",0.0,0.0914828617038821,3,11
"['3OADPCOAT', 'UPPN', 'DHPS']",2.00247756977634e-06,0.0914808979818464,3,11
"['3OADPCOAT', 'FALDH2', 'KAT20', 'ALDD1']",2.628294387407859e-06,0.0914823800478277,4,11
"['3OADPCOAT', 'KAT5', 'FALDH2', 'ALDD1']",2.6282942238335725e-06,0.0914823800478581,4,11
"['ME2', 'PDHcr']",8.813831331444533e-10,0.4004984409890814,2,11
"['ACONTb', 'ACOAD24f']",0.0,0.3948266755026473,2,11
"['ACOAD24f', 'ACOAD5f']",0.0,0.4178046935800262,2,11
"['MDH', 'NDPK3']",0.0,0.3995314860775473,2,11
"['ACONTb', 'ACOAD5f']",0.0,0.3948266755027257,2,11
"['MDH', 'ACOAD24f']",0.0,0.400513070938908,2,11
"['NDPK3', 'PPM']",0.0,0.4168021860279167,2,11
"['MDH', 'ACOAD5f']",0.0,0.400513070938858,2,11
"['MCITS', 'CYTDH']",0.0,0.4178046935800251,2,11
"['LSERDHr', 'GNK']",0.0,0.4178046935800625,2,11
"['PROD2', 'ACONTb', 'PGM', 'PDHcr']",0.3974227833535965,0.2975666919273471,4,11
"['P5CD', 'ACONTb', 'PGM', 'PDHcr']",0.3974227833535422,0.2975666919273496,4,11
"['DHPM1', 'ACONTb', 'TRPS1', 'GGDAPAH']",1.291850088041068,0.1678846646820046,4,11
"['LPCOXc', 'PGM', 'PDHcr', 'HACD20i']",1.3908548340824112e-09,0.3964561381555598,4,11
"['LPCOXc', 'ALCD2x', 'TPI', 'PDHcr']",0.0,0.3958409747457896,4,11
"['LPCOXc', 'PGM', 'ALCD2x', 'TPI']",0.0,0.410887344421858,4,11
"['LPCOXc', 'TRPS1', 'ALCD2x', 'TPI']",1.5188283963851743e-10,0.4111945846139428,4,11
"['SSALx', 'DHPM1', 'ACONTb', 'GGDAPO']",1.2918500880400732,0.1678846646821784,4,11
"['LPCOXc', 'DHPM1', 'TRPS1', 'TPI']",0.0,0.4111873151356418,4,11
"['GGDAPO', 'DHPM1', 'PPKr', 'PDHcr']",1.2375226209474604,0.1673316025534922,4,11
"['MAN6PI', 'ACOAD24f', 'GALUi', 'AADSACYCL', 'RPE']",9.415096144382853e-08,0.4161224535069929,5,11
"['GTHS', 'NTD2', 'MDH', 'OXOAEL', 'SUCOAS']",4.2363945884603404e-06,0.0877978425921367,5,11
"['ADNUC', 'CAT', 'NTD2', 'SUCOAS', 'FALDM']",1.1628925091544671e-05,0.3749664007720476,5,11
"['CS', 'ADNK1', 'NTD2', 'ECOAH2', 'OXOAEL']",4.2348565975521e-06,0.0877659703763236,5,11
"['GUAPRT', 'GTPDPK', 'NDPK1', 'GUACYC', 'NDPK3']",1.879129102322352e-09,0.4168021858827445,5,11
"['PGK', 'HIUHY', 'CAT', 'KAT7', 'OXOAEL']",0.0,0.0541784377522807,5,11
"['PGK', 'MAN6PI', 'NDPK3', 'ECOAH2', 'SUCOAS']",2.636658183452489e-09,0.400437506460191,5,11
"['PDHbr', 'GLXCL', 'NDPK3', 'MDH', 'FALDM']",1.1234727403330869e-05,0.3670538856202481,5,11
"['TPI', 'GLYCK', 'PDHbr', 'CAT', 'OXOAEL']",6.944631387312272e-09,0.0419415171612456,5,11
